z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_U,Collins_L,time[s],neval,fail
0.8,0.0401185,6.45155e-05,0.000521794,6.50038e-07,-0.0353754,5.6888e-05,-0.000460104,5.73186e-07,0.156986,0.000252453,0.00204181,2.54364e-06,0.255554,-0.225341,51.3142,10000000,0
0.1,0.0344863,5.54577e-05,0.000448571,5.588e-07,-0.0110388,1.77516e-05,-0.000143584,1.78867e-07,0.156986,0.000252451,0.00204196,2.54373e-06,0.219677,-0.0703167,51.542,10000000,0
0.15,0.0343964,5.53133e-05,0.000447392,5.57337e-07,-0.0120295,1.93448e-05,-0.000156467,1.94918e-07,0.156986,0.000252452,0.00204191,2.5437e-06,0.219104,-0.0766275,51.8823,10000000,0
0.2,0.0348535,5.60485e-05,0.000453333,5.64741e-07,-0.0138487,2.22704e-05,-0.000180128,2.24395e-07,0.156986,0.000252452,0.00204189,2.54369e-06,0.222016,-0.0882162,51.828,10000000,0
0.25,0.035778,5.75353e-05,0.000465355,5.79719e-07,-0.0162818,2.61831e-05,-0.000211773,2.63817e-07,0.156986,0.000252452,0.00204187,2.54368e-06,0.227906,-0.103715,50.9101,10000000,0
0.3,0.0368799,5.93073e-05,0.000479684,5.97571e-07,-0.0189901,3.05384e-05,-0.000246998,3.077e-07,0.156986,0.000252452,0.00204186,2.54367e-06,0.234925,-0.120967,51.4629,10000000,0
0.35,0.037936,6.10055e-05,0.000493418,6.14681e-07,-0.0217236,3.49341e-05,-0.00028255,3.5199e-07,0.156986,0.000252452,0.00204186,2.54367e-06,0.241652,-0.138379,51.4981,10000000,0
0.4,0.038858,6.24882e-05,0.000505408,6.29619e-07,-0.0243736,3.91956e-05,-0.000317016,3.94927e-07,0.156986,0.000252452,0.00204185,2.54366e-06,0.247525,-0.155259,51.3064,10000000,0
0.45,0.0396639,6.37843e-05,0.000515889,6.42677e-07,-0.0269422,4.33263e-05,-0.000350424,4.36547e-07,0.156986,0.000252452,0.00204184,2.54366e-06,0.252658,-0.171622,51.5122,10000000,0
0.5,0.0404128,6.49885e-05,0.000525628,6.5481e-07,-0.029444,4.73495e-05,-0.000382963,4.77082e-07,0.156986,0.000252453,0.00204184,2.54365e-06,0.257429,-0.187558,51.7107,10000000,0
0.55,0.0411432,6.61633e-05,0.000535128,6.66645e-07,-0.0318109,5.11557e-05,-0.000413747,5.15433e-07,0.156986,0.000252453,0.00204183,2.54365e-06,0.262082,-0.202635,51.0177,10000000,0
0.6,0.0418427,6.72881e-05,0.000544224,6.77978e-07,-0.0338608,5.44523e-05,-0.000440408,5.48647e-07,0.156986,0.000252453,0.00204183,2.54365e-06,0.266537,-0.215693,51.1793,10000000,0
0.65,0.0424563,6.82749e-05,0.000552204,6.8792e-07,-0.0353573,5.68588e-05,-0.000459872,5.72895e-07,0.156986,0.000252453,0.00204183,2.54365e-06,0.270446,-0.225226,51.5604,10000000,0
0.7,0.0429337,6.90425e-05,0.000558412,6.95653e-07,-0.036051,5.79744e-05,-0.000468893,5.84134e-07,0.156986,0.000252453,0.00204182,2.54364e-06,0.273487,-0.229645,51.2733,10000000,0
0.75,0.0432439,6.95415e-05,0.000562446,7.0068e-07,-0.035798,5.75675e-05,-0.000465601,5.80033e-07,0.156986,0.000252453,0.00204182,2.54364e-06,0.275463,-0.228033,51.9973,10000000,0
0.8,0.0433913,6.97784e-05,0.000564361,7.03066e-07,-0.0346291,5.56879e-05,-0.000450398,5.61094e-07,0.156986,0.000252453,0.00204181,2.54364e-06,0.276402,-0.220587,51.7227,10000000,0
0.1,0.0284107,4.56876e-05,0.000369543,4.60353e-07,-0.0117441,1.88859e-05,-0.000152758,1.90296e-07,0.156986,0.000252452,0.00204194,2.54373e-06,0.180976,-0.0748099,52.0292,10000000,0
0.15,0.0285433,4.59008e-05,0.000371259,4.62496e-07,-0.01287,2.06964e-05,-0.000167399,2.08537e-07,0.156986,0.000252452,0.0020419,2.5437e-06,0.18182,-0.0819817,50.3481,10000000,0
0.2,0.029124,4.68349e-05,0.00037881,4.71904e-07,-0.0147556,2.37287e-05,-0.000191922,2.39088e-07,0.156986,0.000252452,0.00204188,2.54368e-06,0.18552,-0.0939927,51.5836,10000000,0
0.25,0.0300521,4.83273e-05,0.000390878,4.86939e-07,-0.0171845,2.76347e-05,-0.000223514,2.78444e-07,0.156986,0.000252452,0.00204187,2.54367e-06,0.191431,-0.109465,51.0853,10000000,0
0.3,0.0310829,4.9985e-05,0.000404284,5.03641e-07,-0.0198304,3.18896e-05,-0.000257927,3.21315e-07,0.156986,0.000252452,0.00204186,2.54367e-06,0.197998,-0.126319,50.7586,10000000,0
0.35,0.0320477,5.15365e-05,0.000416831,5.19272e-07,-0.0224587,3.61162e-05,-0.000292111,3.639e-07,0.156986,0.000252452,0.00204185,2.54366e-06,0.204143,-0.143062,51.7707,10000000,0
